RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
0,2,6,NA,NA
1,1,4,14,2.37
39,2,2,7,1.68
52,2,4,3,0.51
2,2,1,4,0.54
70,2,3,2,0.74
8,2,7,7,1.43
46,2,1,5,0.84
36,2,2,3,0.61
1,1,6,4,0.5
4,2,4,4,0.57
62,2,3,2,0.46
4,1,1,15,5
51,2,3,15,5
13,1,1,6,0.95
0,2,3,8,2.12
16,1,3,14,2.66
16,1,4,8,1.79
29,2,7,14,0.86
62,2,1,4,1.03
16,1,1,14,2.69
42,2,6,15,3.93
21,2,3,6,1.03
80,2,3,12,NA
27,1,3,10,4.19
23,2,2,6,1.54
49,2,1,8,2.86
58,1,4,8,1.31
30,2,7,15,3.17
10,2,4,4,0.49
60,1,4,9,3.74
15,2,1,7,1.76
0,1,4,3,0.42
48,1,3,10,2.51
3,2,1,9,1.45
63,2,3,3,1.13
27,2,3,9,5
44,2,1,4,0.81
26,1,6,7,3
26,1,3,15,5
9,1,2,77,NA
80,2,3,6,1.72
0,2,4,6,1.72
46,1,4,15,5
50,2,3,15,5
62,1,2,14,1.84
3,1,1,8,1.61
80,1,3,3,0.83
71,1,3,6,1.05
62,1,1,6,0.91
6,2,4,7,1.47
11,1,3,6,0.57
4,2,1,6,0.76
60,2,6,14,4.83
5,1,1,14,1.04
22,1,3,3,0.87
80,2,3,4,1.21
50,1,6,15,3.63
7,2,1,3,0.43
17,2,4,2,0.46
33,1,3,10,2.73
52,2,3,9,3.2
68,2,6,2,0.73
1,2,4,2,0.21
1,1,2,2,0.47
18,1,1,14,1.04
27,2,3,14,4.04
79,2,3,6,1.93
12,1,7,13,NA
16,1,4,5,1.02
14,1,1,7,1.14
44,1,2,9,2.52
46,1,6,NA,NA
3,1,3,14,4.04
33,1,4,6,1.09
18,2,3,7,1.49
2,2,3,4,0.4
11,2,6,15,5
9,2,1,4,0.47
7,1,2,6,0.56
4,1,3,NA,NA
43,1,3,9,5
12,1,1,2,0.24
41,1,3,15,5
60,1,2,9,5
10,2,4,3,0.43
2,1,1,3,0.36
18,1,4,77,NA
56,1,3,14,3.14
70,1,3,9,3.87
13,1,7,15,5
45,2,4,10,2.97
57,2,2,15,5
52,1,3,13,NA
7,2,4,8,2.43
65,1,6,15,5
20,2,3,4,0.66
0,2,1,15,5
61,1,3,77,NA
18,2,1,10,2.54
77,1,2,3,0.86
13,2,1,5,0.89
63,1,4,10,4.13
17,2,4,7,1.61
10,2,3,3,0.35
2,2,3,6,0.9
2,1,3,9,2.22
5,2,1,8,1.58
3,1,3,5,0.73
61,2,3,9,2.31
74,1,3,99,NA
53,2,3,9,2.52
7,1,1,5,0.38
6,1,4,12,NA
1,1,2,8,1.74
4,1,4,14,3.14
7,1,1,12,NA
70,2,6,8,2.9
63,2,1,1,0
21,1,4,3,0.77
3,1,4,2,0.26
24,1,2,6,1.61
43,1,4,8,2.53
28,1,3,8,1.86
25,2,3,10,3.28
4,1,4,7,1.45
64,1,2,15,4.19
25,2,7,6,0.83
73,1,3,9,3.87
24,1,7,7,2.58
2,2,4,6,1.13
57,1,6,10,3.58
4,2,4,2,0.31
5,1,4,7,1.38
0,2,3,5,0.67
14,1,3,NA,NA
26,1,4,6,1.09
51,2,4,8,2.27
77,1,3,5,1.74
29,2,3,15,5
24,2,3,5,0.86
27,1,7,8,0.64
31,2,3,6,1.2
23,1,6,15,5
19,2,3,5,0.5
49,2,3,9,1.75
31,2,4,6,1.61
0,2,3,15,4.35
5,2,4,4,0.71
